"#","No.","Name","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm","Class","Deleted"
"1","","Green Flag","","","","","0.000","17:06:40.222","","","","","","","","",""
"2","29","Kalle Dejemyr","0","0","","0.0","0.749","17:06:40.971","20","109","43","","225943","0","","Legends","No"
"3","30","Täby Racing","0","0","","0.0","1.215","17:06:41.437","168","169","41","","4289756","0","","Legends","No"
"4","02","Pepphe","0","0","","0.0","2.853","17:06:43.075","157","161","41","","7637509","0","","Legends","No"
"5","29","Kalle Dejemyr","1","1","1:18.362","95556.5","1:19.111","17:07:59.333","16","110","41","","225943","0","","Legends","No"
"6","30","Täby Racing","1","1","1:24.037","89103.6","1:25.252","17:08:05.474","157","168","41","","4289756","0","","Legends","No"
"7","02","Pepphe","1","1","1:26.246","86821.4","1:29.099","17:08:09.321","164","162","40","","7637509","0","","Legends","No"
"8","84","Fenix Racing Mini","0","1","","0.0","2:14.410","17:08:54.632","13","59","40","","7615881","0","","Classic","No"
"9","29","Kalle Dejemyr","2","2","1:17.436","96699.2","2:36.547","17:09:16.769","13","111","41","","225943","0","","Legends","No"
"10","30","Täby Racing","2","2","1:24.107","89029.5","2:49.359","17:09:29.581","172","168","41","","4289756","0","","Legends","No"
"11","02","Pepphe","2","2","1:29.641","83533.2","2:58.740","17:09:38.962","162","161","41","","7637509","0","","Legends","No"
"12","29","Kalle Dejemyr","3","3","1:20.203","93363.1","3:56.750","17:10:36.972","16","110","43","","225943","0","","Legends","No"
"13","30","Täby Racing","3","3","1:24.158","88975.5","4:13.517","17:10:53.739","174","170","43","","4289756","0","","Legends","No"
"14","02","Pepphe","3","3","1:30.978","82305.6","4:29.718","17:11:09.940","161","162","41","","7637509","0","","Legends","No"
"15","29","Kalle Dejemyr","4","4","1:20.661","92833.0","5:17.411","17:11:57.633","14","110","41","","225943","0","","Legends","No"
"16","30","Täby Racing","4","4","1:24.548","88565.1","5:38.065","17:12:18.287","200","170","40","","4289756","0","","Legends","No"
"17","02","Pepphe","4","4","1:29.592","83578.9","5:59.310","17:12:39.532","177","160","40","","7637509","0","","Legends","No"
"18","29","Kalle Dejemyr","5","5","1:19.548","94131.8","6:36.959","17:13:17.181","19","110","40","","225943","0","","Legends","No"
"19","30","Täby Racing","5","5","1:26.311","86756.0","7:04.376","17:13:44.598","168","169","40","","4289756","0","","Legends","No"
"20","02","Pepphe","5","5","1:29.874","83316.6","7:29.184","17:14:09.406","163","161","41","","7637509","0","","Legends","No"
"21","29","Kalle Dejemyr","6","6","1:20.496","93023.3","7:57.455","17:14:37.677","19","110","41","","225943","0","","Legends","No"
"22","30","Täby Racing","6","6","1:26.279","86788.2","8:30.655","17:15:10.877","177","168","44","","4289756","0","","Legends","No"
"23","02","Pepphe","6","6","1:29.055","84082.9","8:58.239","17:15:38.461","166","160","44","","7637509","0","","Legends","No"
"24","29","Kalle Dejemyr","7","7","1:19.879","93741.8","9:17.334","17:15:57.556","15","109","44","","225943","0","","Legends","No"
"25","30","Täby Racing","7","7","1:26.505","86561.5","9:57.160","17:16:37.382","172","168","40","","4289756","0","","Legends","No"
"26","02","Pepphe","7","7","1:29.884","83307.4","10:28.123","17:17:08.345","159","160","40","","7637509","0","","Legends","No"
"27","29","Kalle Dejemyr","8","8","1:20.170","93401.5","10:37.504","17:17:17.726","16","110","40","","225943","0","","Legends","No"
"28","30","Täby Racing","8","8","1:26.842","86225.6","11:24.002","17:18:04.224","185","170","40","","4289756","0","","Legends","No"
"29","02","Pepphe","8","8","1:30.199","83016.4","11:58.322","17:18:38.544","156","160","41","","7637509","0","","Legends","No"
"30","29","Kalle Dejemyr","9","9","1:22.716","90526.6","12:00.220","17:18:40.442","13","108","41","","225943","0","","Legends","No"
"31","30","Täby Racing","9","9","1:28.558","84554.8","12:52.560","17:19:32.782","154","169","43","","4289756","0","","Legends","No"
"32","","Finish Flag","","","","","12:52.561","17:19:32.783","","","","","","","","",""
"33","29","Kalle Dejemyr","10","10","1:21.551","91819.8","13:21.771","17:20:01.993","19","108","43","","225943","0","","Legends","No"
"34","02","Pepphe","9","10","1:30.057","83147.3","13:28.379","17:20:08.601","166","161","43","","7637509","0","","Legends","No"
"35","30","Täby Racing","10","10","1:26.950","86118.5","14:19.510","17:20:59.732","172","170","43","","4289756","0","","Legends","No"
"36","26","Korte BMW 328","0","10","","0.0","41:05.519","17:47:45.741","3","60","43","","7722653","0","","R1","No"
"37","30","Team Gävlarna Renault Clio","0","10","","0.0","41:08.990","17:47:49.212","4","65","41","","9916734","0","","R1","No"
"38","??","8052697","0","10","","0.0","","18:30:12.491","541","86","46","","8052697","0","","","No"
"39","??","4740610","0","10","","0.0","","18:30:18.422","5","74","0","","4740610","0","","","No"
"40","??","7275133","0","10","","0.0","","18:30:25.048","5","66","0","","7275133","0","","","No"
"41","??","4383884","0","10","","0.0","","18:30:26.338","2","60","0","","4383884","0","","","No"
"42","84","Fenix Racing Mini","1","10","1:22:03.466","1520.9","1:24:17.876","18:30:58.098","2","72","0","","7615881","0","","Classic","No"
"43","30","Team Gävlarna Renault Clio","0","10","43:12.958","2887.8","41:08.990","18:31:02.170","41","81","0","","9916734","0","","R1","No"
"44","26","Korte BMW 328","0","10","43:16.507","2883.9","41:05.519","18:31:02.248","40","99","0","","7722653","0","","R1","No"
"45","30","Team Gävlarna Renault Clio","0","10","25.030","299161.0","41:08.990","18:31:27.200","315","107","47","","9916734","0","","R1","No"
"46","??","4740610","0","10","","0.0","","18:31:27.274","59","84","47","","4740610","0","","","No"
"47","??","4383884","0","10","","0.0","","18:31:43.216","14","91","47","","4383884","0","","","No"
"48","??","7275133","0","10","","0.0","","18:31:44.193","291","116","47","","7275133","0","","","No"
"49","??","8052697","0","10","","0.0","","18:31:46.445","6","80","47","","8052697","0","","","No"
"50","??","4383884","0","10","","0.0","","18:31:46.700","86","105","47","","4383884","0","","","No"
"51","30","Team Gävlarna Renault Clio","0","10","22.091","338961.6","41:08.990","18:31:49.291","174","86","47","","9916734","0","","R1","No"
"52","??","4383884","0","10","","0.0","","18:31:51.525","15","80","47","","4383884","0","","","No"
"53","30","Team Gävlarna Renault Clio","0","10","10.534","710841.1","41:08.990","18:31:59.825","333","84","47","","9916734","0","","R1","No"
"54","??","8052697","0","10","","0.0","","18:36:17.000","7","69","49","","8052697","0","","","No"
"55","??","8052697","0","10","","0.0","","18:36:20.236","154","76","61","","8052697","0","","","No"
"56","??","7275133","0","10","","0.0","","18:36:20.524","5","60","61","","7275133","0","","","No"
"57","??","7275133","0","10","","0.0","","18:36:26.378","243","76","61","","7275133","0","","","No"
"58","??","8052697","0","10","","0.0","","18:37:09.019","14","69","47","","8052697","0","","","No"
"59","??","7275133","0","10","","0.0","","18:37:09.621","340","77","47","","7275133","0","","","No"
"60","??","7275133","0","10","","0.0","","18:40:33.815","143","84","46","","7275133","0","","","No"
"61","??","8052697","0","10","","0.0","","18:40:33.876","210","88","46","","8052697","0","","","No"
"62","??","7275133","0","10","","0.0","","18:40:40.149","51","77","46","","7275133","0","","","No"
"63","??","8052697","0","10","","0.0","","18:40:40.277","124","95","46","","8052697","0","","","No"
"64","??","4383884","0","10","","0.0","","18:41:39.780","61","72","46","","4383884","0","","","No"
"65","??","4740610","0","10","","0.0","","18:41:40.043","12","74","46","","4740610","0","","","No"
"66","30","Team Gävlarna Renault Clio","0","10","9:40.372","12902.1","41:08.990","18:41:40.197","44","75","46","","9916734","0","","R1","No"
"67","??","8052697","0","10","","0.0","","18:41:40.325","31","85","46","","8052697","0","","","No"
"68","??","7275133","0","10","","0.0","","18:41:40.598","41","76","46","","7275133","0","","","No"
"69","??","7275133","0","10","","0.0","","18:41:50.936","8","68","46","","7275133","0","","","No"
"70","??","4383884","0","10","","0.0","","18:41:50.951","45","69","46","","4383884","0","","","No"
"71","??","8052697","0","10","","0.0","","18:41:51.192","15","72","46","","8052697","0","","","No"
"72","??","4740610","0","10","","0.0","","18:48:08.934","4","67","43","","4740610","0","","","No"
"73","??","8052697","0","10","","0.0","","18:48:09.428","47","78","49","","8052697","0","","","No"
"74","??","7275133","0","10","","0.0","","18:48:38.996","4","62","49","","7275133","0","","","No"
"75","??","4383884","0","10","","0.0","","18:48:50.595","87","71","49","","4383884","0","","","No"
"76","??","8052697","0","10","","0.0","","18:48:50.994","2","73","49","","8052697","0","","","No"
"77","??","8052697","0","10","","0.0","","18:48:55.921","2","74","49","","8052697","0","","","No"
"78","30","Team Gävlarna Renault Clio","0","10","8:05.759","15415.1","41:08.990","18:49:45.956","83","69","46","","9916734","0","","R1","No"
"79","??","8052697","0","10","","0.0","","18:49:46.963","2","68","46","","8052697","0","","","No"
"80","??","4740610","0","10","","0.0","","18:50:10.747","74","79","46","","4740610","0","","","No"
"81","??","4740610","0","10","","0.0","","18:50:24.734","25","71","46","","4740610","0","","","No"
"82","30","Team Gävlarna Renault Clio","0","10","44.360","168800.7","41:08.990","18:50:30.316","2","60","46","","9916734","0","","R1","No"
"83","??","8052697","0","10","","0.0","","18:50:32.449","2","66","46","","8052697","0","","","No"
"84","??","8052697","0","10","","0.0","","18:50:39.051","9","66","46","","8052697","0","","","No"
"85","??","8052697","0","10","","0.0","","18:50:44.857","234","78","46","","8052697","0","","","No"
"86","","Run Stopped","","","","","15:50:29.208","8:57:09.430","","","","","","","","",""
